Sport,TotPkts,TotBytes,SrcPkts,DstPkts,SrcBytes,service,flag,protocol_type,count,srv_count,dst_host_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_bytes,class
58604,20,1149,9,9,662,60,5,0,33,25,192,0.6239465938078198,0.05009117310171188,5743,0
59554,20,1329,9,10,1864,15,5,1,60,479,193,0.03127012986953878,0.5567317236533533,8465,0
56557,20,1297,9,9,724,22,4,0,65,296,247,0.06366519966002926,0.0535622286220082,4610,1
58964,18,1211,9,9,678,20,9,0,11,31,26,0.09259114731098472,0.07531942562693493,789,0
56594,17,982,9,7,1072,17,9,1,416,40,37,0.039978577331837184,0.02821676586114335,20143,0
57101,19,1244,9,7,762,9,5,0,399,21,252,0.09636974772438212,0.048681982463864945,17533,0
59648,3,1006,1,7,723,19,5,0,174,234,165,0.20376564802763497,0.7426881964421378,6315,0
59016,20,1176,1,9,1438,39,9,0,193,16,177,0.009572527028586575,0.1343918741560806,10655,0
56862,19,1162,7,10,1714,49,9,0,100,24,34,0.1992177868294275,0.04724965284881394,9811,0
55982,18,1186,9,9,659,16,4,0,14,23,157,0.339591541148507,0.16639598158491703,16054,1
56774,20,1206,3,8,1302,26,1,2,156,33,186,0.14142549199508547,0.4998592267221316,84,0
58628,4,795,9,7,738,11,9,0,72,43,251,0.9592476441877227,0.04528395529708015,12417,0
56579,18,1027,9,1,658,52,9,1,14,5,227,0.01637894509286798,0.04636779100398479,156,1
56035,20,1372,9,9,1767,55,1,2,36,60,201,0.03055778755014389,0.05322482619220138,1050,1
58490,19,1182,9,7,1080,21,8,0,60,253,211,0.9896258277636195,0.49103100157479795,8871,0
57727,19,1239,9,7,1432,46,4,0,131,56,42,0.2170300890198689,0.031505351788961716,40295,1
58120,18,1273,9,9,669,23,8,0,108,498,183,0.08257998290429727,0.05417073004508401,7195,0
58423,20,1166,9,9,1321,13,4,0,3,437,145,0.045620827340986436,0.5160655424005844,34312,1
56267,18,1243,9,9,789,20,2,0,500,311,182,0.09151827212092636,0.05523681549533338,7804,0
57801,20,1243,9,9,1031,12,4,0,2,116,253,0.9770998983280936,0.7838059978526127,423,1
57039,20,1358,9,9,919,21,5,0,24,60,34,0.7100189010362221,0.03347870405145563,5527,1
57088,20,730,9,7,759,5,5,1,8,6,181,0.33737071650249506,0.6041262157739817,373,0
56707,20,1013,9,9,1293,45,9,0,182,58,211,0.1444195748336305,0.04681554787222109,13860,0
59762,17,1101,9,7,834,59,8,2,114,26,114,0.018717462948834723,0.07112307140029837,313,1
58378,18,1217,9,7,767,12,4,1,120,241,205,0.008762018117971799,0.7156686637018056,32421,0
58631,19,1254,9,9,684,12,9,1,287,9,73,0.6702600318487923,0.07827273298180831,887,0
55915,17,1398,2,7,1313,17,5,2,74,72,88,0.35742690709122593,0.8128998697658804,1905,0
59732,20,1140,9,9,756,16,9,0,437,274,208,0.8010138031062074,0.06596456260585319,19100,0
58349,20,1121,9,7,720,35,5,1,137,5,233,0.1220620422273947,0.07428223584696705,7402,0
59747,19,1366,4,7,1777,20,5,1,11,89,224,0.2562248432710891,0.29040620797541944,10918,0
57797,17,596,9,7,651,50,5,0,147,169,241,0.46228831492353184,0.0357514817427053,18006,0
56212,20,712,9,9,1991,43,9,0,80,18,35,0.2781121164627473,0.04956727476609735,7154,0
58698,20,1344,9,9,740,18,5,0,205,7,114,0.7174508726920421,0.0720829044646324,1017,0
58286,20,1219,9,9,725,56,9,0,198,12,224,0.05758088031690316,0.4739381620738261,1019,1
59646,8,1214,9,10,963,58,5,1,156,230,232,0.9061926861672757,0.04775570301461592,12819,1
57956,20,1323,9,10,2153,13,3,0,11,163,253,0.9348039072294192,0.16572522470620998,33583,0
56179,20,1085,7,7,648,57,5,0,19,16,49,0.9732436903345606,0.031446186952778836,13247,1
57541,15,1175,9,2,2210,21,9,0,167,485,102,0.6616161039321705,0.04153388137329914,645,0
59031,20,1076,9,9,677,4,5,0,182,37,251,0.3099639508405668,0.05135074718988896,770,0
56233,20,1331,9,1,1149,7,1,1,25,5,171,0.6091414486888749,0.2503318131228332,33767,1
58159,17,1302,9,3,2127,13,4,0,4,224,242,0.3849206142448428,0.03249245978717024,8727,0
56237,17,1294,9,9,1445,45,9,0,16,49,242,0.7187171808180045,0.04062138507334767,630,1
56016,3,990,9,9,770,21,5,0,170,8,216,0.17968977168738182,0.028992704346871165,12039,0
57917,17,1336,9,10,1283,15,9,0,59,18,138,0.4881846307902508,0.03293318788947332,20430,1
59386,19,1240,4,7,1960,52,1,2,475,45,96,0.2791928208027433,0.04695163422444272,1167,0
56435,19,1256,9,7,2208,45,9,0,193,194,123,0.013700842302291655,0.0678707516878015,29663,0
59406,20,1257,9,9,682,44,5,1,11,159,253,0.9898166231555924,0.6693000573587564,690,0
59387,10,411,9,7,742,40,2,0,335,10,251,0.24789272054208467,0.04338930598009684,11889,1
57159,4,436,9,7,734,33,1,0,27,69,209,0.8310413330705054,0.025482720161763145,25846,0
59743,18,794,9,9,716,43,1,0,109,5,175,0.10131780822773312,0.07424490915446416,10164,0
56981,18,1169,3,7,730,46,4,0,2,6,162,0.0812535499999138,0.047263033730825646,4227,1
59381,17,1298,9,9,756,5,4,1,49,19,226,0.6793562518907356,0.05138435151000184,9563,0
56487,20,1247,9,9,1537,23,5,0,9,27,78,0.5439406405957539,0.422742112542174,682,0
59700,18,1359,9,9,1437,7,1,2,9,4,208,0.44805717905873127,0.03940920957157843,744,0
57767,19,1272,9,7,1483,14,1,0,311,24,172,0.16482051221743904,0.08376691037213325,324,0
57303,3,1402,2,9,1263,56,4,0,420,10,213,0.9544717962921437,0.4956779469866636,11442,1
57744,20,1343,9,7,1323,9,5,0,5,37,153,0.8100181613290159,0.05248242309059513,10063,0
56029,17,1128,9,7,1574,38,9,0,188,3,236,0.9621794538196821,0.5983627679086586,18477,0
58016,17,1042,9,10,970,45,5,0,201,2,198,0.46037397391077617,0.029646159274058018,12746,0
55950,19,1215,9,7,772,21,5,0,7,5,239,0.14922257646190537,0.037179791672960164,14285,1
57400,17,1118,9,9,736,23,5,1,89,16,51,0.17399414372833266,0.03095534924445264,22001,0
57258,17,1400,9,7,767,17,9,1,14,21,103,0.47995574760516363,0.061621298866078165,24852,1
57052,17,1261,9,8,1292,43,3,0,152,200,43,0.8763867270387745,0.4485522225260143,5216,1
59679,19,232,9,10,1667,41,4,0,2,31,20,0.4957825445608019,0.7163182953691332,4459,1
58224,17,1054,9,9,1799,12,5,1,66,24,253,0.9583384479372579,0.06711360279304554,9534,0
58054,18,532,9,9,1520,19,1,0,12,4,162,0.15844790658848884,0.037018170270828245,25446,0
59756,17,1010,9,7,736,42,4,2,55,31,226,0.021686550127304367,0.6457921764981065,22725,0
58502,17,788,2,9,718,21,5,0,19,23,176,0.005027397564944587,0.8722564290841305,7549,0
57320,8,1311,9,10,751,39,8,0,156,175,124,0.6124026121827237,0.04514470879983569,1175,0
57218,18,1196,9,9,777,5,4,1,13,7,212,0.21926736699616,0.03902693639531017,132,0
59115,9,1316,9,7,658,13,9,2,15,87,204,0.5864804257158385,0.3558370982327702,17049,0
59267,17,1063,9,9,738,14,9,0,67,206,148,0.9637362211776822,0.0868806641712512,26503,0
58022,17,1167,2,9,755,47,8,1,45,282,139,0.0643764489761684,0.14262998648466174,66,1
56367,20,1338,9,7,1353,40,4,0,131,221,175,0.9730081800982184,0.0389443431069673,1385,0
57372,19,1161,9,9,659,11,4,0,7,26,225,0.9748306123209811,0.049024819175085416,17128,0
58916,20,1252,9,10,734,52,1,1,54,10,123,0.1235252639781115,0.0545286821893786,17464,1
58020,19,1236,9,9,1445,25,3,2,137,9,79,0.279308648913512,0.045972963191054664,13291,1
59071,18,1345,9,7,664,43,9,1,77,23,131,0.08323694469033802,0.02211051174115979,4448,0
58834,20,1232,9,7,784,26,8,0,1,31,239,0.32959150964081096,0.04212205095442107,266,1
59433,18,1296,9,1,782,31,4,0,1,6,184,0.6308595049767607,0.10927757459234706,318,1
56740,18,1257,9,7,1355,47,1,1,156,7,44,0.38966474855469524,0.04891375063901575,453,0
57472,18,393,9,10,1771,52,5,0,59,58,253,0.465639334994941,0.058041621811150204,1954,0
55860,18,1110,3,8,785,38,4,1,44,10,214,0.6445493941893501,0.05610428760294102,9809,0
57028,19,1254,9,9,1942,47,1,1,182,42,95,0.6313439324186307,0.3793562734734468,487,1
57468,17,1342,9,7,694,29,2,0,174,80,191,0.8717912243009991,0.04860071804022195,17286,0
59202,17,1319,9,10,2209,25,9,0,96,24,234,0.9562174275790035,0.2666141846154952,5400,0
57393,19,1290,9,7,1604,40,5,1,197,342,193,0.17009302274798066,0.030810483093144367,864,0
57888,19,906,9,9,720,63,5,2,150,343,238,0.21960429989855645,0.06315165769172616,8899,0
58480,20,434,9,7,722,21,9,1,261,25,243,0.2706426441003943,0.05075345332222303,137,0
56851,20,1061,9,7,938,35,4,0,191,21,240,0.9264713252768201,0.6617226665201078,12213,0
56700,20,1406,9,7,1496,51,5,0,435,305,249,0.9710150626948453,0.0627743301072104,37188,0
58440,20,987,8,9,736,30,5,0,45,247,180,0.9770039064024296,0.045166337116898894,22705,0
59596,18,1389,9,9,756,55,5,0,72,146,214,0.2536428980915291,0.04763661613707549,8751,1
56743,19,847,9,7,1561,12,5,0,12,10,27,0.05957309917664016,0.05529340230644362,4667,0
59478,18,1383,9,9,997,10,1,0,74,22,245,0.23904652745209964,0.037401283473869645,3568,0
55993,20,1252,9,8,683,35,5,0,194,60,208,0.9730301143086979,0.04659502581490804,1319,1
58981,20,1290,9,7,1148,23,5,0,139,49,144,0.034643805306550784,0.04705663104683253,32626,0
57269,6,1293,2,7,737,23,5,0,384,495,237,0.5334525330846515,0.5425640026065397,12875,1
59025,17,1031,5,10,664,22,5,0,108,17,208,0.6762345623654686,0.06780355331971501,198,1
59880,20,1317,9,9,2116,60,5,0,410,12,218,0.9539332653193511,0.12494643346904086,361,0
58072,17,1247,9,10,2338,61,1,0,204,321,225,0.9809611189970591,0.06503263096661094,1436,1
58221,15,1216,9,9,1511,46,9,0,86,118,190,0.3713956976808719,0.05876724441771161,8111,0
58896,17,1322,9,9,1224,44,5,0,1,8,31,0.8410553528970574,0.19139112237356765,23968,0
58359,17,1370,9,7,1187,18,9,0,56,61,113,0.829791287890487,0.29888569832750433,2979,0
58148,20,1126,9,8,971,45,9,0,18,5,153,0.22516515340779109,0.14408626645576783,1219,0
56825,18,1268,2,7,721,4,1,0,177,6,253,0.9824392631533295,0.030107421164201863,7928,0
56625,17,1338,9,8,1420,45,9,1,102,2,248,0.16609397816899713,0.05166474332036228,665,0
59400,19,1246,9,7,1724,40,1,0,17,25,230,0.1252223758427439,0.10585415315470503,7313,1
59108,20,1233,6,9,1124,4,4,0,315,10,50,0.2471262953930743,0.3350857006282355,23595,0
55754,20,198,9,10,801,41,1,0,164,322,200,0.3735981018788792,0.06248063445238887,309,0
59724,9,1271,9,8,773,21,5,0,256,11,203,0.3150344854625722,0.07676057723330143,2712,0
56458,19,1098,9,7,1419,14,9,0,345,7,174,0.17903748274251985,0.056445854155209904,7763,0
58011,20,1178,9,9,694,19,1,0,48,29,217,0.509127082207988,0.25155778323401023,17640,0
59066,20,1305,5,9,775,37,5,1,43,1,199,0.15831648585178024,0.046255676942002,10224,1
55988,20,1319,9,7,655,60,4,1,16,6,200,0.33383063467597396,0.07285569935738677,9638,1
55397,20,1305,9,8,710,13,4,2,7,156,62,0.9785582055550993,0.7626258560330075,130,1
59196,18,1300,9,9,667,22,1,1,239,7,164,0.0638916680141754,0.07457166284479615,22448,0
57194,20,1306,9,7,703,59,1,0,354,33,228,0.22693023333312407,0.03179911057891823,74,0
58111,18,1101,9,7,1870,30,1,0,23,2,195,0.967426158103134,0.2048670399598525,15552,0
59183,19,1374,9,9,777,14,1,1,5,8,247,0.2687729764501338,0.124005804110782,627,0
58406,20,1242,9,7,719,36,4,1,119,6,244,0.9684840544805489,0.2274069987388158,1063,0
58831,20,1276,9,7,2210,17,9,0,171,22,194,0.4358420501689453,0.08721136411151138,6514,0
56521,19,1074,9,9,759,56,4,0,333,180,176,0.3922766555840801,0.05722700619820541,9035,0
59254,20,1374,9,9,659,21,5,0,4,254,41,0.9748362143151021,0.06539865947112698,397,0
59535,20,940,9,7,683,38,8,1,9,24,247,0.05405605443760525,0.04543163981034297,146,1
58965,19,1290,2,7,663,17,1,1,111,28,28,0.5500768037145696,0.036093118232943686,321,1
56968,20,1366,9,9,683,45,3,0,104,22,33,0.4345925107793575,0.07673703067673551,374,1
57407,17,1204,9,7,782,37,8,1,1,18,224,0.9577842849973719,0.03182278274796136,500,0
59332,20,357,9,9,713,45,5,1,252,20,215,0.17260585995265285,0.03971307179619489,18893,1
55416,20,1251,4,9,2286,47,1,0,232,188,49,0.006497346507942051,0.046022049140987294,30731,1
59799,17,1097,9,9,749,36,4,0,45,330,150,0.25668084841836725,0.027008099065087124,2512,1
55706,20,1222,9,9,906,48,5,0,115,279,231,0.17761438629621096,0.6114155157933124,181,1
59532,17,1116,1,9,753,21,1,1,13,47,169,0.24872909544160238,0.03259744367316404,3034,0
59415,19,1185,9,9,1862,46,5,0,198,73,198,0.5037284535718218,0.06973538843651729,25453,1
57811,18,1203,8,9,652,22,1,0,64,7,239,0.9574815462094705,0.23517437985175388,7012,1
59787,5,1107,9,9,741,9,4,0,2,259,39,0.1479996206199668,0.0807666040932522,2413,0
56571,18,353,9,7,781,22,4,1,21,141,208,0.4853693528694049,0.058138679102527506,35384,1
56454,17,1261,4,9,2241,13,5,1,93,12,233,0.5012071704986816,0.04726817766848126,25417,1
58798,20,1061,9,9,800,5,1,0,98,4,217,0.9833904893815506,0.22999032196545016,9182,0
58748,18,1208,9,9,669,10,5,0,126,6,125,0.023420193835509882,0.8446028958658626,6302,0
59120,19,1243,2,9,702,36,3,0,421,51,24,0.23250185794618627,0.6211167407539483,202,1
57086,18,1192,9,9,675,45,8,1,23,5,138,0.9621110928518195,0.04277065743187339,20020,1
59046,20,738,9,7,919,43,9,0,4,41,251,0.6904125313649485,0.026689678483819264,22033,0
57382,17,1091,9,9,668,5,5,0,152,9,41,0.0370390604519015,0.22536229945109126,4335,0
59884,17,1391,9,7,742,23,9,0,10,10,154,0.9796704405821717,0.295529150589223,8895,0
58467,19,1134,9,7,1884,8,5,0,273,46,138,0.9783645831667122,0.32259202499536194,6755,0
55715,17,1172,9,9,779,58,2,0,450,5,71,0.28277754392427096,0.03259882844495984,13593,1
59741,9,1407,9,9,2097,20,2,0,84,220,217,0.7714261192135677,0.6464743778416171,5140,0
59866,18,1020,9,9,710,44,1,0,433,271,15,0.6150229826785862,0.10168509197483211,440,0
55647,18,934,9,9,2068,60,5,0,103,258,121,0.4946568588569269,0.037533789699305,411,0
58023,20,1244,4,9,1563,43,8,0,3,24,141,0.3406946430366622,0.07950219482660192,5615,0
59798,20,1303,9,7,1966,21,4,1,64,507,122,0.02232675057955404,0.2030886185741472,1359,0
56807,18,1236,9,10,923,10,9,0,354,201,89,0.16673729113262953,0.05816190637641807,12538,1
59850,20,1356,9,7,704,18,5,2,260,133,29,0.5329241466657113,0.045301514972768575,6241,0
57391,20,455,8,8,1876,8,4,0,172,34,196,0.26280993997146523,0.07950933506968345,5138,0
57375,18,1205,9,7,714,14,9,0,78,9,15,0.018751803457539563,0.12997702127381947,12887,0
59522,4,1283,9,7,992,44,5,0,132,70,211,0.6317569257707134,0.039248315524329155,9805,0
57021,20,1236,9,8,1733,8,3,0,82,271,13,0.18473341390172732,0.060663066069908414,26870,0
56405,20,1192,9,7,711,51,8,0,85,222,152,0.00787112378327337,0.07312582121404065,452,0
55757,20,243,2,7,977,49,2,1,3,182,142,0.34098103809650593,0.21910636284806384,37343,1
59361,5,1128,9,9,979,43,5,2,66,27,21,0.007509080851952454,0.05157020292166181,1780,1
59853,18,1305,9,8,1130,16,1,0,187,62,19,0.010330085853709519,0.03719066003341812,3858,0
55998,18,1210,9,7,693,23,4,2,87,182,178,0.5213132034674486,0.020508858995239937,25,0
59184,17,1316,9,7,689,54,1,1,49,58,157,0.23394305666555834,0.07740756986389402,25585,0
59176,18,1250,9,7,717,59,9,1,179,26,8,2.777368706175648e-05,0.035699351469190385,14144,0
58433,19,1407,9,9,1808,13,9,1,16,395,135,0.9838752756454816,0.43479129296435454,5542,1
58377,17,1084,5,9,728,41,1,0,111,58,183,0.08747996380395409,0.04593219809709114,4032,0
56315,20,1238,9,7,1829,21,1,1,94,4,180,0.35587189961554566,0.5788327313991323,4841,0
59506,18,1215,9,7,698,14,4,1,75,312,238,0.013787719048071578,0.04583387929958925,1527,0
59291,17,1139,9,7,2014,46,4,1,95,12,33,0.25927111206020115,0.3095547391618919,305,0
59606,20,730,9,9,716,22,5,0,46,5,105,0.6016799211159778,0.381656383964396,84,0
56655,19,1216,3,9,652,37,1,1,63,11,155,0.970557434778238,0.28271278744513667,3159,0
55887,17,1243,9,9,2139,50,5,1,128,175,204,0.029054409222104262,0.06231441889410224,583,0
58969,18,1121,9,7,722,26,2,0,215,16,48,0.36605933092383763,0.026460072130000296,39169,0
58580,17,1294,9,7,701,42,2,0,149,21,148,0.3409829606101123,0.02983309647269424,12663,0
57071,20,1327,9,9,1782,16,9,1,143,8,162,0.585186885002372,0.06928701589559337,27864,0
57742,20,1256,9,9,736,59,1,1,317,461,50,0.34251211237096163,0.4659009258511779,4153,1
58812,18,1390,9,9,2300,10,9,1,133,20,198,0.28260070762342676,0.04850165265489581,5757,0
58727,18,1164,9,7,1658,56,1,0,29,8,23,0.5813022923420833,0.050865015752671584,207,0
58654,20,1142,1,8,1432,56,9,0,265,30,211,0.07587229967339998,0.023545399131618627,307,1
58945,18,1369,9,9,1284,13,1,0,225,7,57,0.5763330428407831,0.32220878600567576,26142,1
58304,17,1109,3,7,1540,46,9,0,5,401,193,0.07001963714058168,0.2302787307998363,618,0
56841,20,1193,9,8,708,33,1,0,163,22,224,0.37889219637975297,0.44985324771700297,29313,0
59450,17,1344,9,9,722,37,1,1,103,45,218,0.39868319817043585,0.2150500509133434,334,1
58768,20,1188,9,7,733,9,9,0,175,14,26,0.5057827674413056,0.061547980707105585,5360,1
58299,17,1292,9,9,1872,21,4,1,85,9,103,0.6701876165544179,0.7573954472302792,505,0
56081,17,820,9,7,767,13,9,2,38,18,112,0.2128561497918448,0.40523433473236165,22321,0
58911,20,1355,9,7,1535,61,4,1,232,372,176,0.9735061289683854,0.04340984232525594,36305,1
55370,20,1086,9,9,734,13,9,0,385,28,42,0.9795560757797495,0.07858292623519089,11044,1
55765,18,1354,9,7,746,42,4,1,181,4,219,0.09426098529319688,0.05681484600798768,15724,1
58790,17,1264,2,10,1635,13,9,2,75,68,184,0.0795264397363217,0.05372837675921503,7831,1
56136,21,1333,9,7,1103,46,4,0,87,147,98,0.5223300794093602,0.039825177884234605,23249,0
56450,18,771,9,7,744,45,1,0,34,7,36,0.9779937977142487,0.055384974712564074,274,0
59685,18,1324,2,7,1793,2,5,0,430,37,219,0.9038277236790966,0.037458312225276014,159,1
56036,17,929,9,10,734,11,5,0,40,46,142,0.022508171664601437,0.03734794003609427,4886,0
56265,20,1121,2,8,1633,45,1,0,87,51,101,0.6511101460271392,0.04219042231338953,175,1
57765,20,997,9,9,724,12,5,0,258,300,107,0.07030696048624047,0.04799748207202374,429,0
59479,20,1109,9,5,1912,24,9,1,220,216,252,0.05458155535809632,0.06686196734481478,14081,1
59306,18,797,9,9,708,21,4,0,6,26,41,0.44728974337408567,0.06172493819460862,3342,0
57031,17,1192,6,1,1292,21,9,2,19,186,241,0.2854333336598369,0.12202984779862028,35366,0
56937,20,1187,9,9,1341,41,3,2,5,336,171,0.023896988337231195,0.07274665155701071,25533,0
59053,19,462,9,9,1264,45,2,1,217,46,31,0.9864318094476766,0.03322052803710208,678,0
58944,19,1329,9,7,772,47,5,2,19,476,154,0.34626916720427436,0.061468358021281824,16331,1
59142,19,1055,9,7,1945,7,5,0,76,48,193,0.6165655584275944,0.04758287230442481,9778,1
57691,17,1270,9,10,772,62,5,2,101,176,187,0.05241135118337642,0.03777376260865087,32030,0
56238,18,1164,9,9,731,25,1,0,58,6,200,0.014379266085554454,0.6291720818122807,2757,0
59434,18,1272,9,7,669,14,9,0,98,242,193,0.2725116107436977,0.5747641258999111,27311,0
56298,20,1301,9,9,649,21,9,1,166,45,78,0.5021390008252636,0.04373847653809798,2658,0
58176,20,1079,9,7,1374,14,9,0,47,26,14,0.4268737945622787,0.41042916108457644,4,0
59109,18,1254,9,7,718,5,1,0,73,25,238,0.19648730714338347,0.03534637827136554,154,0
57400,20,1067,2,8,1406,11,5,0,3,128,13,0.24687240667370025,0.409306083383282,6249,0
57153,19,1321,9,7,701,10,9,0,192,44,147,0.05319829190244291,0.04958434051991019,37961,1
59399,19,1253,9,7,1009,19,5,1,158,13,237,0.18978986734067976,0.1582261692679404,39598,0
58841,17,456,5,7,670,39,8,0,7,3,249,0.12851817000458357,0.06569729511827359,7523,0
56288,20,1124,9,7,777,43,5,1,135,295,56,0.047467445961474064,0.027093933935035952,180,0
57296,11,1057,9,9,719,23,4,0,383,12,241,0.9646398801435291,0.03350049322584866,6047,1
59380,19,1118,9,10,773,14,5,0,107,281,124,0.4428812619850379,0.08372436885374482,193,0
55918,20,1331,9,9,691,50,5,0,124,11,215,0.38295224912736514,0.05496084638731824,11505,0
56703,20,1302,9,9,723,22,4,0,141,8,94,0.006021289718877901,0.08397154843391187,7358,0
57233,19,1129,9,10,784,44,1,1,29,6,206,0.33253873849469723,0.030198671907416465,10942,0
56486,18,1188,9,7,674,15,9,0,202,11,84,0.16037815372351738,0.5471641108296328,782,0
59728,20,1158,3,9,1324,45,9,0,261,20,232,0.9661312261939481,0.4510949617763772,2223,1
56736,20,1095,9,7,1319,12,5,1,76,9,177,0.553819446997562,0.05358190417798933,16077,0
59291,6,1255,9,7,711,23,4,1,42,4,43,0.37128574146346216,0.06807495176286815,3723,0
57278,19,1013,9,9,721,22,4,0,161,273,40,0.9646264159447878,0.06521998708275656,827,1
59358,19,1175,9,9,1491,23,8,1,10,59,177,0.2897502386737305,0.028267326672633597,79,0
59830,17,1026,4,9,1834,36,5,0,198,29,169,0.056704866937732246,0.055684661534480775,1115,0
59852,19,1230,9,8,744,45,1,1,139,4,146,0.20383048588899583,0.051560981600385226,40274,1
59717,18,1219,9,9,703,47,9,0,92,328,235,0.23396545712042116,0.04060821562973235,3588,0
56809,18,1325,9,10,713,13,5,0,14,194,233,0.1016718954926853,0.05937314327409797,503,1
57771,19,1319,9,9,726,31,8,0,8,29,140,0.45674761728450125,0.9205075709912853,9514,1
59454,19,1305,9,9,1442,21,5,0,92,9,107,0.030715008724944173,0.425888787953996,11242,1
55472,18,342,9,9,1498,47,9,0,270,11,240,0.24369113178451923,0.6022916863903262,1632,0
59544,19,1329,9,7,679,9,1,0,1,28,187,0.10461397346372292,0.4499359281110265,13973,1
59745,19,1242,2,7,1677,15,5,2,91,263,202,0.2277056706753316,0.03981893447806441,4864,0
56602,20,1407,9,7,702,56,8,0,8,27,15,0.6613413126262426,0.0406818288395137,6386,0
56442,10,603,4,7,734,21,5,0,229,13,4,0.44894315769749005,0.5114914673666768,1072,0
58702,18,1209,9,9,1798,44,5,0,180,9,174,0.9610746222530745,0.0321629062855136,4856,0
59674,17,1378,9,9,653,44,5,0,116,148,188,0.013628510050496923,0.0577977192621439,34202,0
59379,18,1191,9,7,678,39,9,1,2,18,159,0.6357257049614158,0.11498410643952088,14285,0
57182,20,1286,9,7,712,60,1,2,171,49,148,0.3973025391229107,0.18476473841831992,774,1
58446,19,169,9,7,739,26,5,2,3,16,151,0.6954845180683931,0.18476361083026643,1487,0
59111,17,1247,9,1,960,61,9,1,8,481,225,0.9973601562950367,0.05947206659792359,241,0
